id,name,default_unit,density_g_per_ml,is_active,notes,created_at,updated_at,category_id
384,"Gume de amestecat cu fructe",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
385,"Inghetata de fructe",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
386,Ketchup,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
387,Maioneză,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
388,Muștar,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
389,Parfait,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
390,"Praf de cacao",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
391,"Vin alb demisec (100 ml)",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
392,"Vin roșu sec (100 ml)",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
393,"Slanina afumata",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",24
394,Avocado,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",24
395,Afine,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",24
396,loboda,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",24
397,leustean,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",24
398,patrunjel,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",24
399,Apa,ml,,1,,,,
400,"Praf de copt",g,,1,,,,
401,Scortisoara,g,,1,,,,
402,"Ghimbir pudra",g,,1,,,,
403,Naut,g,,1,,"2026-02-03 19:36:50","2026-02-03 19:36:50",19
404,"Esenta de vanilie",g,1,1,,"2026-02-03 20:06:35","2026-02-03 20:07:55",
405,"Orez bob lung fiert",g,1,1,,"2026-02-03 20:13:05","2026-02-03 20:16:39",20
406,"pastai / pastrari galbene",g,,1,,"2026-02-03 20:17:43","2026-02-03 20:17:43",15
407,"Zeama de lamaie",g,,1,,"2026-02-03 20:23:11","2026-02-03 20:23:11",
408,"Coajă de lămâie",g,,1,,"2026-02-03 20:29:04","2026-02-03 20:29:04",
409,Marar,g,,1,,"2026-02-03 20:29:35","2026-02-03 20:29:35",15
410,"Cartofi fierti (in 2 ape)",g,,1,,"2026-02-03 20:46:40","2026-02-03 20:46:40",15
411,"Lapte de orez",g,,1,,"2026-02-03 21:05:36","2026-02-03 21:05:36",
